id,lon,lat,country
CYZP,-131.814,53.254,
CYZH,-114.773,55.293,CAN
CYZG,-75.67,62.181,CAN
CYZF,-114.448,62.475,CAN
CYZE,-82.57,45.885,CAN
CYYZ,-79.629,43.679,CAN
CYYY,-68.208,48.609,CAN
CYYT,-52.748,47.627,CAN
CYYR,-60.417,53.32,CAN
CYYQ,-94.074,58.745,CAN
CYYN,-107.691,50.292,CAN
CYYL,-101.073,56.863,CAN
CYYJ,-123.433,48.642,CAN
CYYG,-63.128,46.289,CAN
CYYF,-119.606,49.46,CAN
CYYE,-122.59,58.839,CAN
CYYD,-127.185,54.823,CAN
CYYC,-114.011,51.116,CAN
CYYB,-79.423,46.365,CAN
CYXZ,-84.781,47.974,CAN
CYXY,-135.059,60.71,CAN
CYXU,-81.162,43.039,CAN
CYXT,-128.577,54.471,CAN
CYXS,-122.677,53.884,CAN
CYXR,-79.852,47.698,CAN
CYXQ,-140.866,62.408,CAN
CYXP,-65.712,66.144,CAN
CYXN,-92.597,62.238,
CYXL,-91.905,50.114,CAN
CYXJ,-120.737,56.247,CAN
CYXH,-110.717,50.018,CAN
CYXE,-106.695,52.172,CAN
CYXC,-115.784,49.614,CAN
CYWL,-122.066,52.186,CAN
CYWJ,-123.434,65.209,CAN
CYWH,-123.387,48.423,CAN
CYWG,-97.249,49.916,CAN
CYWE,-114.078,64.192,CAN
CYWA,-77.311,45.948,CAN
CYVV,-81.107,44.745,CAN
CYVT,-108.418,55.842,CAN
CYVR,-123.168,49.183,CAN
CYVQ,-126.796,65.278,CAN
CYVO,-77.779,48.056,CAN
CYVM,-64.026,67.552,CAN
CYVC,-105.264,55.15,CAN
CYUY,-78.83,48.209,CAN
CYUX,-81.233,68.772,
CYUT,-86.23,66.525,CAN
CYUL,-73.742,45.468,CAN
CYTZ,-79.397,43.627,CAN
CYTR,-77.531,44.115,CAN
CYTQ,-69.948,58.671,CAN
CYTL,-89.892,53.816,CAN
CYTH,-97.846,55.803,CAN
CYSY,-125.241,71.993,CAN
CYSP,-86.351,48.759,CAN
CYSN,-79.176,43.192,CAN
CYSM,-111.929,60.026,CAN
CYSK,-79.242,56.538,CAN
CYSJ,-65.886,45.309,CAN
CYSC,-71.692,45.44,CAN
CYSB,-80.799,46.622,CAN
CYRV,-118.176,50.958,CAN
CYRT,-92.1,62.811,
CYRQ,-72.68,46.358,CAN
CYRL,-93.799,51.067,CAN
CYRJ,-72.266,48.523,CAN
CYRB,-94.982,74.713,CAN
CYRA,-117.313,64.115,CAN
CYQZ,-122.506,53.027,CAN
CYQY,-60.049,46.166,CAN
CYQX,-54.576,48.946,CAN
CYQW,-108.251,52.769,CAN
CYQV,-102.461,51.26,CAN
CYQU,-118.882,55.182,CAN
CYQT,-89.33,48.374,CAN
CYQR,-104.67,50.427,CAN
CYQQ,-124.895,49.712,
CYQM,-64.682,46.107,CAN
CYQL,-112.792,49.627,CAN
CYQK,-94.361,49.791,CAN
CYQH,-128.832,60.116,CAN
CYQG,-82.963,42.269,CAN
CYQF,-113.903,52.179,CAN
CYQD,-101.089,53.975,CAN
CYQB,-71.396,46.791,CAN
CYQA,-79.303,44.971,CAN
CYPY,-111.117,58.766,CAN
CYPX,-77.281,60.045,CAN
CYPW,-124.499,49.835,CAN
CYPR,-130.451,54.291,
CYPQ,-78.36,44.232,CAN
CYPO,-85.439,54.988,CAN
CYPL,-90.218,51.449,CAN
CYPH,-78.08,58.47,CAN
CYPG,-98.284,49.903,CAN
CYPE,-117.453,56.228,CAN
CYPD,-61.374,45.657,CAN
CYPC,-124.077,69.355,CAN
CYPA,-105.679,53.217,CAN
CYOY,-71.503,46.9,CAN
CYOW,-75.66,45.307,CAN
CYOJ,-117.174,58.628,CAN
CYOD,-110.287,54.41,CAN
CYNM,-77.793,49.759,CAN
CYNE,-97.845,53.958,CAN
CYND,-75.563,45.52,CAN
CYNC,-78.825,53.011,CAN
CYNA,-61.789,50.19,CAN
CYMX,-74.038,45.68,CAN
CYMT,-74.527,49.779,CAN
CYMO,-80.607,51.292,
CYMM,-111.221,56.65,CAN
CYMJ,-105.559,50.33,CAN
